#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals removed) ,,,,
#institution = NOAA/Laboratory for Satellite Altimetry ,,,,
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) ,,,,
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' ,,
#trend = 2.94 mm/year (no glacial isostatic adjustment correction) ,,,,
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2009.2346,,27.01,,
2009.2482,,,24.82,
2009.2618,,25.97,,
2009.2753,,,24.18,
2009.2889,,23.59,,
2009.3025,,,24.94,
2009.316,,25.81,,
2009.3296,,,25.1,
2009.3432,,27.82,,
2009.3567,,,24.62,
2009.3703,,24.02,,
2009.3839,,,23.78,
2009.3975,,24.17,,
2009.4107,,,23.34,
2009.4246,,23.84,,
2009.4382,,,25.35,
2009.4518,,27.7,,
2009.4653,,,25.97,
2009.4789,,24.89,,
2009.4925,,,24.17,
2009.5061,,24.68,,
2009.5197,,,22.24,
2009.5332,,24.66,,
2009.5468,,,23.68,
2009.5604,,27.81,,
2009.574,,,27.22,
2009.5875,,27.06,,
2009.6011,,,24,
2009.6147,,25.14,,
2009.6283,,,24.97,
2009.6418,,24.41,,
2009.6554,,,25.13,
2009.669,,26.54,,
2009.6826,,,25.75,
2009.6947,,29.3,,
2009.7097,,,28.62,
2009.736,,23.81,,
2009.7369,,,27.9,
2009.7504,,29.38,,
2009.764,,,27.17,
2009.7776,,28.1,,
2009.7911,,,28.25,
2009.8047,,27.36,,
2009.8184,,,28.68,
2009.8319,,29.88,,
2009.8455,,,28.35,
2009.859,,26.36,,
2009.8726,,,24.92,
2009.8862,,27.09,,
2009.8998,,,27.55,
2009.9133,,27.9,,
2009.9269,,,26.66,
2009.9405,,27.44,,
2009.954,,,24.8,
2009.9676,,28.13,,
2009.9812,,,29.59,
2009.9948,,27.98,,
2010.0084,,,26.45,
2010.0219,,29.31,,
2010.0355,,,25.93,
2010.0491,,26.46,,
2010.0626,,,24.99,
2010.0762,,22.47,,
2010.0898,,,21.31,
2010.1033,,24.5,,
2010.117,,,25.49,
2010.1305,,28.56,,
2010.1441,,,27.83,
2010.1576,,30.83,,
2010.1712,,,31.45,
2010.185,,30.25,,
2010.1983,,,25.2,
2010.212,,26.04,,
2010.2255,,,25.79,
2010.239,,26.24,,
2010.2527,,,25.56,
2010.2655,,25.89,,
2010.2799,,,28.33,
2010.2935,,31.31,,
2010.3069,,,28.59,
2010.3205,,28.73,,
2010.3341,,,25.84,
2010.3477,,27.44,,
2010.3612,,,26.05,
2010.3748,,28.83,,
2010.3884,,,30.3,
2010.4019,,27.17,,
2010.4155,,,30.24,
2010.4277,,28.13,,
2010.4427,,,30.32,
2010.4562,,29.96,,
2010.4698,,,30.71,
2010.4833,,28.42,,
2010.497,,,30.27,
2010.5105,,26.98,,
2010.5242,,,29.9,
2010.5377,,28.62,,
2010.5513,,,30.3,
2010.5639,,28.67,,
2010.5784,,,28.31,
2010.592,,28.55,,
2010.6055,,,26.57,
2010.6192,,31.01,,
2010.6328,,,27.63,
2010.6463,,27.47,,
2010.6599,,,23.8,
2010.6733,,25.51,,
2010.687,,,25.44,
2010.7006,,25.5,,
2010.7142,,,24.83,
2010.7277,,24.95,,
2010.7414,,,23.96,
2010.7549,,23.43,,
2010.7685,,,25.07,
2010.782,,25.5,,
2010.7956,,,28.32,
2010.8092,,29.12,,
2010.8228,,,26.51,
2010.8364,,28.5,,
2010.8499,,,25.62,
2010.8635,,26.15,,
2010.8771,,,26.84,
2010.8906,,22.22,,
2010.9043,,,22.7,
2010.9178,,20.88,,
2010.9314,,,23.95,
2010.9449,,23.94,,
2010.9586,,,23.6,
2010.9721,,25.95,,
2010.9857,,,25.98,
2010.9993,,26,,
2011.0129,,,23.63,
2011.0264,,22.72,,
2011.0399,,,22.99,
2011.0536,,22.55,,
2011.0671,,,24.74,
2011.0807,,25.33,,
2011.0943,,,23.24,
2011.1078,,23.34,,
2011.1214,,,22.08,
2011.135,,24.07,,
2011.1486,,,22.8,
2011.1621,,24.31,,
2011.1757,,,23.41,
2011.1892,,23.3,,
2011.2029,,,23.45,
2011.2164,,22.38,,
2011.23,,,21.34,
2011.2436,,23.07,,
2011.2571,,,23.2,
2011.2705,,23.11,,
2011.2843,,,23.57,
2011.2978,,22.93,,
2011.3115,,,23.13,
2011.325,,21.55,,
2011.3386,,,20.38,
2011.3521,,21.66,,
2011.3657,,,23.99,
2011.3793,,21.14,,
2011.3929,,,24.92,
2011.4064,,24.27,,
2011.42,,,25.03,
2011.4336,,24.91,,
2011.4471,,,25.68,
2011.4607,,25.72,,
2011.4743,,,28.03,
2011.4879,,25.54,,
2011.5014,,,26.16,
2011.5151,,24.27,,
2011.5286,,,25.35,
2011.5421,,22.17,,
2011.5558,,,24.42,
2011.5693,,24.25,,
2011.583,,,25.29,
2011.5965,,26.14,,
2011.61,,,27.94,
2011.6236,,25.08,,
2011.6372,,,28.2,
2011.6508,,29.02,,
2011.6644,,,27.56,
2011.6778,,26.67,,
2011.6916,,,25.82,
2011.7051,,22.68,,
2011.7187,,,25.35,
2011.7319,,25.78,,
2011.7459,,,27.72,
2011.7591,,27.8,,
2011.773,,,29.99,
2011.7867,,29.61,,
2011.8002,,,31.09,
2011.8137,,25.49,,
2011.8273,,,26.74,
2011.8408,,25.63,,
2011.8544,,,26.11,
2011.868,,21.94,,
2011.8816,,,26.97,
2011.8952,,26.76,,
